epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.777,1.51347,3.08214,1.70538,0.52872,0.28659,0.23816,0.12314,1.87228,2.40444,1.90429,0.0033309,0.0033309,0.0033309
2,995.144,1.479,2.2929,1.67208,0.53624,0.25741,0.23188,0.11419,2.00611,2.44014,1.9769,0.00644431,0.00644431,0.00644431
3,1443.49,1.54166,2.18681,1.71626,0.49234,0.25068,0.19884,0.10234,2.04047,2.5984,2.0901,0.00933773,0.00933773,0.00933773
4,1898.89,1.57195,2.11417,1.73743,0.39862,0.30748,0.24385,0.12067,2.03066,2.33801,2.07514,0.00901,0.00901,0.00901
5,2363.05,1.51656,1.96244,1.6959,0.50307,0.33593,0.32032,0.16306,1.93971,2.18879,2.00047,0.00868,0.00868,0.00868
6,2823.33,1.47395,1.85513,1.66113,0.52503,0.32703,0.31181,0.16199,1.88292,2.09172,1.89188,0.00835,0.00835,0.00835
7,3274.35,1.44963,1.79515,1.637,0.53458,0.34748,0.36296,0.20119,1.82247,2.02728,1.88485,0.00802,0.00802,0.00802
8,3723.9,1.41179,1.71761,1.60989,0.5389,0.37328,0.38474,0.21342,1.80029,1.94548,1.84626,0.00769,0.00769,0.00769
9,4180.52,1.40063,1.675,1.59626,0.56183,0.39587,0.42142,0.23221,1.76581,1.90352,1.81002,0.00736,0.00736,0.00736
10,4623.49,1.38012,1.62202,1.57834,0.6005,0.43001,0.4469,0.24983,1.7563,1.84346,1.8021,0.00703,0.00703,0.00703
11,5082.35,1.35673,1.59371,1.56672,0.65216,0.39565,0.45473,0.25766,1.71979,1.81275,1.7624,0.0067,0.0067,0.0067
12,5568.27,1.35233,1.56951,1.55764,0.64365,0.41011,0.46349,0.25974,1.71062,1.78119,1.76106,0.00637,0.00637,0.00637
13,6086.34,1.33185,1.53618,1.54243,0.61667,0.45071,0.48337,0.27232,1.67985,1.69328,1.72873,0.00604,0.00604,0.00604
14,6587.16,1.3211,1.4999,1.53118,0.49339,0.47707,0.491,0.28021,1.67338,1.69762,1.70375,0.00571,0.00571,0.00571
15,7057.56,1.32009,1.49216,1.5297,0.51873,0.48764,0.50642,0.29098,1.65858,1.65398,1.69604,0.00538,0.00538,0.00538
16,7517.11,1.29965,1.45494,1.51734,0.55483,0.47736,0.51514,0.29701,1.63802,1.63547,1.68709,0.00505,0.00505,0.00505
17,7980.82,1.28967,1.43356,1.51038,0.56339,0.45718,0.52054,0.30131,1.62614,1.61455,1.67051,0.00472,0.00472,0.00472
18,8446.82,1.27314,1.40295,1.49364,0.68312,0.46994,0.52297,0.30199,1.61969,1.57749,1.65791,0.00439,0.00439,0.00439
19,8922.07,1.26064,1.38339,1.48409,0.53273,0.50537,0.52303,0.3045,1.6075,1.57909,1.6462,0.00406,0.00406,0.00406
20,9439.35,1.24945,1.35559,1.47553,0.61218,0.49287,0.54115,0.31081,1.59481,1.52139,1.63245,0.00373,0.00373,0.00373
21,10029.9,1.34666,1.33935,1.58946,0.54418,0.51689,0.54427,0.31948,1.57341,1.50532,1.62428,0.0034,0.0034,0.0034
22,10524.3,1.32196,1.29298,1.57777,0.53843,0.53644,0.55131,0.32864,1.56039,1.46572,1.61676,0.00307,0.00307,0.00307
23,10996.8,1.30788,1.25463,1.55212,0.56931,0.52979,0.56814,0.33404,1.54246,1.44415,1.58591,0.00274,0.00274,0.00274
24,11470.9,1.2847,1.21468,1.53831,0.57032,0.53324,0.56805,0.33913,1.53517,1.44102,1.58858,0.00241,0.00241,0.00241
25,11937.7,1.27169,1.19118,1.52581,0.61519,0.52838,0.58079,0.35217,1.53375,1.41958,1.58137,0.00208,0.00208,0.00208
26,12397.4,1.25273,1.15407,1.51161,0.58276,0.53891,0.5783,0.34615,1.53239,1.40546,1.57831,0.00175,0.00175,0.00175
27,12854.7,1.24087,1.12602,1.49495,0.57821,0.56841,0.58693,0.35219,1.52594,1.39579,1.5715,0.00142,0.00142,0.00142
28,13281.5,1.22393,1.10043,1.4838,0.58265,0.5579,0.58973,0.35619,1.52061,1.38497,1.56521,0.00109,0.00109,0.00109
29,13708.7,1.21259,1.07641,1.47477,0.58664,0.56063,0.59023,0.36152,1.5182,1.37303,1.56196,0.00076,0.00076,0.00076
30,14137.7,1.19578,1.06037,1.46373,0.61382,0.55069,0.59304,0.35913,1.51479,1.366,1.56098,0.00043,0.00043,0.00043
